Modelo,Accuracy,Precision_Abandono,Recall_Abandono,F1_Abandono,AUC_ROC
Red Neuronal,0.8712,0.8512,0.7254,0.7833,0.9218
Random Forest,0.8802,0.8739,0.7324,0.7969,0.93
